Latitude (°N),Longitude (°E)
37.74533582089,14.974536895752
37.616950955922,14.886817932129
38.807276121724,15.231685638428
38.791690379235,15.21014213562
38.785133984237,15.191938029663
38.773056597115,15.214262008667
38.800587379402,15.24173982898
38.799450230762,15.216244114502
38.41640920979,14.955654144287
38.419300888051,14.958357810974
38.791891075692,15.212800886963
38.404034209499,14.965095520019
44.133,7.392
44.141,7.427
44.156,7.427
44.16,7.435
44.531,6.866
44.649,7.087
44.651,7.091
44.657,7.126
44.665,7.107
44.666,7.066
44.667,7.111
44.685,7.097
44.695,7.088
44.696,7.093
45.151,6.914
45.239,7.117
45.24,7.111
45.24,7.152
45.249,7.143
45.272,7.222
45.274,7.232
45.277,7.225
45.279,7.143
45.284,7.155
45.413,7.224
45.467,7.208
45.471,7.139
45.476,7.157
45.479,7.272
45.482,7.098
45.482,7.145
45.485,7.089
45.485,7.195
45.486,7.146
45.489,7.403
45.492,7.397
45.494,7.133
45.496,7.138
45.497,7.407
45.498,7.074
45.499,7.23
45.499,7.428
45.5,7.408
45.502,7.144
45.502,7.146
45.504,7.397
45.506,7.306
45.507,7.324
45.508,7.152
45.509,7.061
45.52,7.436
45.535,7.066
45.552,7.169
45.558,7.179
45.599,7.522
45.602,7.476
45.605,7.514
45.608,7.483
45.614,7.496
45.618,7.0
45.62,7.447
45.643,7.481
45.654,6.949
45.656,6.952
45.657,7.4
45.657,7.406
45.659,6.943
45.659,7.394
45.659,6.953
45.659,6.926
45.66,6.983
45.661,6.949
45.661,6.988
45.665,6.983
45.666,6.996
45.668,6.978
45.669,6.992
45.671,7.375
45.671,6.992
45.672,7.399
45.673,6.986
45.677,7.411
45.679,7.05
45.68,7.013
45.685,7.406
45.688,6.882
45.692,6.872
45.708,7.005
45.708,6.834
45.709,6.853
45.723,7.0
45.736,6.831
45.779,6.871
45.808,7.879
45.816,7.874
45.863,7.51
45.864,7.549
45.879,7.346
45.879,7.359
45.887,7.815
45.888,7.563
45.891,7.744
45.897,7.379
45.898,7.567
45.9,7.731
45.907,7.574
45.913,7.692
45.914,7.699
45.921,7.485
45.933,7.686
45.943,7.915
45.948,7.909
46.025,9.878
46.043,9.871
46.065,10.039
46.065,10.052
46.079,10.087
46.079,10.018
46.082,9.891
46.083,10.059
46.086,9.926
46.086,10.068
46.098,10.112
46.103,10.116
46.114,10.111
46.125,10.613
46.13,10.618
46.139,10.616
46.143,10.614
46.144,10.429
46.164,10.442
46.178,10.496
46.194,10.569
46.195,10.413
46.203,10.561
46.204,10.528
46.212,10.571
46.213,9.571
46.216,10.73
46.221,10.733
46.222,10.726
46.23,10.705
46.236,10.581
46.236,10.663
46.242,10.653
46.247,8.13
46.247,10.756
46.247,10.771
46.249,9.763
46.253,9.754
46.253,10.717
46.264,10.709
46.271,9.8
46.272,9.803
46.274,10.707
46.276,9.811
46.285,8.161
46.295,9.818
46.302,9.788
46.329,10.545
46.333,9.869
46.333,10.119
46.335,10.536
46.336,10.481
46.34,9.905
46.34,9.713
46.342,9.942
46.343,9.964
46.344,9.958
46.345,10.493
46.346,9.944
46.351,9.875
46.359,10.195
46.361,9.293
46.363,9.459
46.363,10.559
46.364,9.287
46.365,9.312
46.367,10.165
46.369,10.161
46.374,9.283
46.374,10.205
46.377,10.175
46.381,10.146
46.384,10.403
46.386,9.4
46.387,10.406
46.388,10.402
46.392,9.43
46.392,10.255
46.397,10.245
46.401,9.403
46.401,10.151
46.403,8.443
46.405,10.307
46.405,8.364
46.405,9.414
46.407,9.409
46.407,10.263
46.409,8.354
46.409,9.422
46.409,10.271
46.424,10.093
46.43,10.095
46.43,10.684
46.433,9.268
46.437,10.532
46.439,10.674
46.44,10.176
46.441,10.703
46.442,10.07
46.455,10.541
46.455,10.805
46.461,10.657
46.462,10.812
46.464,10.651
46.464,10.657
46.467,10.755
46.47,10.696
46.471,10.721
46.472,10.747
46.472,10.7
46.473,10.725
46.475,10.752
46.478,10.755
46.478,10.722
46.48,10.729
46.482,10.795
46.482,10.758
46.484,10.784
46.485,10.214
46.492,10.212
46.521,12.223
46.561,10.637
46.696,10.7
46.715,10.777
46.716,10.977
46.719,10.767
46.72,11.048
46.725,11.071
46.728,11.083
46.748,10.719
46.748,11.024
46.752,10.723
46.758,10.727
46.762,10.814
46.91,11.192
46.91,11.215
46.918,11.209
46.923,12.129
46.928,11.163
46.931,11.226
46.932,11.176
46.935,11.749
46.941,11.729
46.953,11.211
46.955,11.254
46.956,11.201
46.96,11.227
46.961,11.212
46.977,11.27
46.985,11.323
47.059,12.083
46.15898604,10.53233722
46.39208994,10.59096812
45.81187129,6.846037285
45.90852218,7.833809668
46.35957101,9.942663481
45.64765342,7.002141756
46.95117321,11.18397176
46.15389814,10.57613447
45.92614077,7.759076299
45.83192516,6.892712259
45.9565348,7.58621652
45.93922902,7.903319909
45.52481576,7.285259678
46.36469015,9.900254994
46.1279474,10.59971932
46.49063469,10.57133998
46.35164379,9.846380631
46.53683529,10.6622814
46.43369587,10.62871307
46.81192365,10.7333752
45.89926199,7.022303429
45.50483577,7.025393556
46.82728289,10.74478042
46.45823315,10.62749058
45.97891351,7.562145033
45.7840743,6.818093546
46.5061458,10.47936078
45.91828004,7.723910292
45.91020211,7.044020493
46.78856242,10.71856897
46.50385137,10.52116315
46.22670652,10.65455003
45.48084829,7.061645838
46.39511486,8.326376639
46.19155104,10.5264659
46.27961989,9.744691336
45.59660369,7.274086588
46.37616498,10.55201073
45.87282826,7.007250363
46.45150287,10.71255665
45.91548734,7.781193833
46.44999587,10.60609501
46.45117003,10.64152586
46.90635364,12.09698
46.26993831,9.769443951
45.90853305,7.798418035
45.90789346,7.878714843
46.76128623,10.89057712
46.46838717,10.61478631
45.52218538,7.257192256
45.64987331,7.02971942
